date,product,category,price,quantity,revenue,quarter,month
2022-02-15,Tablet,electronics,400.0,4.0,1600.0,1,2
2022-02-16,Smartwatch,accessories,200.0,7.0,1400.0,1,2
2022-02-17,Smartphone,electronics,600.0,6.0,3600.0,1,2
2022-02-18,Hoodie,clothing,40.0,20.0,800.0,1,2
2022-02-19,Speaker,electronics,80.0,12.0,960.0,1,2
2022-02-20,Backpack,bags,50.0,18.0,900.0,1,2
2022-02-21,Sneakers,shoes,80.0,5.0,400.0,1,2
2022-02-22,Smartphone,electronics,600.0,8.0,4800.0,1,2
2022-02-23,Coat,clothing,100.0,6.0,600.0,1,2
2022-02-24,T-Shirt,clothing,20.0,15.0,300.0,1,2
2022-02-25,Smartwatch,accessories,200.0,10.0,2000.0,1,2
2022-02-26,Jeans,clothing,50.0,18.0,900.0,1,2
2022-02-27,Smartphone,electronics,600.0,9.0,5400.0,1,2
2022-02-28,Watch,accessories,150.0,5.0,750.0,1,2
2022-03-01,T-Shirt,clothing,20.0,40.0,800.0,1,3
2022-03-02,Smartphone,electronics,600.0,10.0,6000.0,1,3
2022-03-03,Headphones,electronics,100.0,15.0,1500.0,1,3
2022-03-04,Coat,clothing,100.0,20.0,2000.0,1,3
2022-03-05,Smartwatch,accessories,200.0,12.0,2400.0,1,3
2022-03-06,Smartphone,electronics,600.0,7.0,4200.0,1,3
2022-03-07,Speaker,electronics,80.0,10.0,800.0,1,3
2022-03-08,Backpack,bags,50.0,15.0,750.0,1,3
2022-03-09,Jeans,clothing,50.0,25.0,1250.0,1,3
2022-03-10,T-Shirt,clothing,20.0,30.0,600.0,1,3
2022-03-11,Hoodie,clothing,40.0,10.0,400.0,1,3
2022-03-12,Smartphone,electronics,600.0,12.0,7200.0,1,3
2022-03-13,Sneakers,shoes,80.0,15.0,1200.0,1,3
2022-03-14,Wallet,accessories,30.0,40.0,1200.0,1,3
2022-03-15,Smartwatch,accessories,200.0,5.0,1000.0,1,3
2022-03-16,Smartphone,electronics,600.0,6.0,3600.0,1,3
2022-03-17,Coat,clothing,100.0,8.0,800.0,1,3
2022-03-18,Speaker,electronics,80.0,20.0,1600.0,1,3
2022-03-19,Backpack,bags,50.0,10.0,500.0,1,3
2022-03-20,T-Shirt,clothing,20.0,25.0,500.0,1,3
2022-03-21,Tablet,electronics,400.0,3.0,1200.0,1,3
2022-03-22,Smartphone,electronics,600.0,7.0,4200.0,1,3
2022-03-23,Sneakers,shoes,80.0,12.0,960.0,1,3
2022-03-24,T-Shirt,clothing,20.0,15.0,300.0,1,3
2022-03-25,Smartwatch,accessories,200.0,8.0,1600.0,1,3
2022-03-26,Jeans,clothing,50.0,20.0,1000.0,1,3
2022-03-27,Smartphone,electronics,600.0,9.0,5400.0,1,3
2022-03-28,Watch,accessories,150.0,10.0,1500.0,1,3
2022-03-29,Coat,clothing,100.0,5.0,500.0,1,3
2022-03-30,Headphones,electronics,100.0,10.0,1000.0,1,3
2022-03-31,Smartphone,electronics,600.0,11.0,6600.0,1,3
2022-04-01,Hoodie,clothing,40.0,30.0,1200.0,2,4
2022-04-02,Smartphone,electronics,600.0,10.0,6000.0,2,4
2022-04-03,Speaker,electronics,80.0,25.0,2000.0,2,4
2022-04-04,Coat,clothing,100.0,15.0,1500.0,2,4
2022-04-05,Smartwatch,accessories,200.0,10.0,2000.0,2,4
2022-04-06,Smartphone,electronics,600.0,7.0,4200.0,2,4
2022-04-07,Backpack,bags,50.0,18.0,900.0,2,4
2022-04-08,T-Shirt,clothing,20.0,35.0,700.0,2,4
2022-04-09,Jeans,clothing,50.0,10.0,500.0,2,4
2022-04-10,Watch,accessories,150.0,12.0,1800.0,2,4
2022-04-11,Hoodie,clothing,40.0,20.0,800.0,2,4
2022-04-12,Smartphone,electronics,600.0,12.0,7200.0,2,4
2022-04-13,Sneakers,shoes,80.0,8.0,640.0,2,4
2022-04-14,Wallet,accessories,30.0,30.0,900.0,2,4
2022-04-15,Smartwatch,accessories,200.0,5.0,1000.0,2,4
2022-04-16,Smartphone,electronics,600.0,6.0,3600.0,2,4
2022-04-17,Coat,clothing,100.0,8.0,800.0,2,4
2022-04-18,Speaker,electronics,80.0,20.0,1600.0,2,4
2022-04-19,Backpack,bags,50.0,15.0,750.0,2,4
2022-04-20,T-Shirt,clothing,20.0,20.0,400.0,2,4
2022-04-21,Tablet,electronics,400.0,6.0,2400.0,2,4
2022-04-22,Smartphone,electronics,600.0,7.0,4200.0,2,4
2022-04-23,Sneakers,shoes,80.0,12.0,960.0,2,4
2022-04-24,T-Shirt,clothing,20.0,25.0,500.0,2,4
2022-04-25,Smartwatch,accessories,200.0,8.0,1600.0,2,4
2022-04-26,Jeans,clothing,50.0,15.0,750.0,2,4
2022-04-27,Smartphone,electronics,600.0,9.0,5400.0,2,4
2022-04-28,Watch,accessories,150.0,10.0,1500.0,2,4
2022-04-29,Coat,clothing,100.0,5.0,500.0,2,4
2022-04-30,Headphones,electronics,100.0,15.0,1500.0,2,4
2022-05-01,Smartphone,electronics,600.0,9.0,5400.0,2,5
2022-05-02,Hoodie,clothing,40.0,20.0,800.0,2,5
2022-05-03,Smartphone,electronics,600.0,10.0,6000.0,2,5
2022-05-04,Speaker,electronics,80.0,22.0,1760.0,2,5
2022-05-05,Coat,clothing,100.0,18.0,1800.0,2,5
2022-05-06,Smartwatch,accessories,200.0,12.0,2400.0,2,5
2022-05-07,Smartphone,electronics,600.0,7.0,4200.0,2,5
2022-05-08,Backpack,bags,50.0,20.0,1000.0,2,5
2022-05-09,T-Shirt,clothing,20.0,30.0,600.0,2,5
2022-05-10,Jeans,clothing,50.0,25.0,1250.0,2,5
2022-05-11,Watch,accessories,150.0,15.0,2250.0,2,5
2022-05-12,Hoodie,clothing,40.0,15.0,600.0,2,5
2022-05-13,Smartphone,electronics,600.0,12.0,7200.0,2,5
2022-05-14,Sneakers,shoes,80.0,8.0,640.0,2,5
2022-05-15,Wallet,accessories,30.0,35.0,1050.0,2,5
2022-05-16,Smartwatch,accessories,200.0,9.0,1800.0,2,5
2022-05-17,Smartphone,electronics,600.0,6.0,3600.0,2,5
2022-05-18,Coat,clothing,100.0,8.0,800.0,2,5
2022-05-19,Speaker,electronics,80.0,20.0,1600.0,2,5
2022-05-20,Backpack,bags,50.0,15.0,750.0,2,5
2022-05-21,T-Shirt,clothing,20.0,25.0,500.0,2,5
2022-05-22,Smartphone,electronics,600.0,7.0,4200.0,2,5
2022-05-23,Sneakers,shoes,80.0,12.0,960.0,2,5
2022-05-24,T-Shirt,clothing,20.0,15.0,300.0,2,5
2022-05-25,Smartwatch,accessories,200.0,8.0,1600.0,2,5
2022-05-26,Jeans,clothing,50.0,20.0,1000.0,2,5
2022-05-27,Smartphone,electronics,600.0,9.0,5400.0,2,5
2022-05-28,Watch,accessories,150.0,5.0,750.0,2,5
2022-05-29,Coat,clothing,100.0,5.0,500.0,2,5
2022-05-30,Headphones,electronics,100.0,10.0,1000.0,2,5
2022-05-31,Smartphone,electronics,600.0,11.0,6600.0,2,5
2022-06-01,Hoodie,clothing,40.0,30.0,1200.0,2,6
2022-06-02,Smartphone,electronics,600.0,10.0,6000.0,2,6
2022-06-03,Speaker,electronics,80.0,25.0,2000.0,2,6
2022-06-04,Coat,clothing,100.0,15.0,1500.0,2,6
2022-06-05,Smartwatch,accessories,200.0,10.0,2000.0,2,6
2022-06-06,Smartphone,electronics,600.0,7.0,4200.0,2,6
2022-06-07,Backpack,bags,50.0,18.0,900.0,2,6
2022-06-08,T-Shirt,clothing,20.0,35.0,700.0,2,6
2022-06-09,Jeans,clothing,50.0,10.0,500.0,2,6
2022-06-10,Watch,accessories,150.0,12.0,1800.0,2,6
2022-06-11,Hoodie,clothing,40.0,20.0,800.0,2,6
2022-06-12,Smartphone,electronics,600.0,12.0,7200.0,2,6
2022-06-13,Sneakers,shoes,80.0,15.0,1200.0,2,6
2022-06-14,Wallet,accessories,30.0,40.0,1200.0,2,6
2022-06-15,Smartwatch,accessories,200.0,5.0,1000.0,2,6
2022-06-16,Smartphone,electronics,600.0,6.0,3600.0,2,6
2022-06-17,Coat,clothing,100.0,8.0,800.0,2,6
2022-06-18,Speaker,electronics,80.0,20.0,1600.0,2,6
2022-06-19,Backpack,bags,50.0,15.0,750.0,2,6
2022-06-20,T-Shirt,clothing,20.0,20.0,400.0,2,6
2022-06-21,Tablet,electronics,400.0,6.0,2400.0,2,6
2022-06-22,Smartphone,electronics,600.0,7.0,4200.0,2,6
2022-06-23,Sneakers,shoes,80.0,12.0,960.0,2,6
2022-06-24,T-Shirt,clothing,20.0,25.0,500.0,2,6
2022-06-25,Smartwatch,accessories,200.0,8.0,1600.0,2,6
2022-06-26,Jeans,clothing,50.0,15.0,750.0,2,6
2022-06-27,Smartphone,electronics,600.0,9.0,5400.0,2,6
2022-06-28,Watch,accessories,150.0,10.0,1500.0,2,6
2022-06-29,Coat,clothing,100.0,5.0,500.0,2,6
2022-06-30,Headphones,electronics,100.0,15.0,1500.0,2,6
2022-07-01,Smartphone,electronics,600.0,11.0,6600.0,3,7
2022-07-02,Hoodie,clothing,40.0,20.0,800.0,3,7
2022-07-03,Smartphone,electronics,600.0,10.0,6000.0,3,7
2022-07-04,Speaker,electronics,80.0,22.0,1760.0,3,7
2022-07-05,Coat,clothing,100.0,18.0,1800.0,3,7
2022-07-06,Smartwatch,accessories,200.0,12.0,2400.0,3,7
2022-07-07,Smartphone,electronics,600.0,7.0,4200.0,3,7
2022-07-08,Backpack,bags,50.0,20.0,1000.0,3,7
2022-07-09,T-Shirt,clothing,20.0,30.0,600.0,3,7
2022-07-10,Jeans,clothing,50.0,25.0,1250.0,3,7
2022-07-11,Watch,accessories,150.0,15.0,2250.0,3,7
2022-07-12,Hoodie,clothing,40.0,15.0,600.0,3,7
2022-07-13,Smartphone,electronics,600.0,12.0,7200.0,3,7
2022-07-14,Sneakers,shoes,80.0,8.0,640.0,3,7
2022-07-15,Wallet,accessories,30.0,35.0,1050.0,3,7
2022-07-16,Smartwatch,accessories,200.0,9.0,1800.0,3,7
2022-07-17,Smartphone,electronics,600.0,6.0,3600.0,3,7
2022-07-18,Coat,clothing,100.0,8.0,800.0,3,7
2022-07-19,Speaker,electronics,80.0,20.0,1600.0,3,7
2022-07-20,Backpack,bags,50.0,15.0,750.0,3,7
2022-07-21,T-Shirt,clothing,20.0,25.0,500.0,3,7
2022-07-22,Smartphone,electronics,600.0,7.0,4200.0,3,7
2022-07-23,Sneakers,shoes,80.0,12.0,960.0,3,7
2022-07-24,T-Shirt,clothing,20.0,15.0,300.0,3,7
2022-07-25,Smartwatch,accessories,200.0,8.0,1600.0,3,7
2022-07-26,Jeans,clothing,50.0,20.0,1000.0,3,7
2022-07-27,Smartphone,electronics,600.0,9.0,5400.0,3,7
2022-07-28,Watch,accessories,150.0,5.0,750.0,3,7
2022-07-29,Coat,clothing,100.0,5.0,500.0,3,7
2022-07-30,Headphones,electronics,100.0,10.0,1000.0,3,7
2022-07-31,Smartphone,electronics,600.0,11.0,6600.0,3,7
2022-08-01,Hoodie,clothing,40.0,30.0,1200.0,3,8
2022-08-02,Smartphone,electronics,600.0,10.0,6000.0,3,8
2022-08-03,Speaker,electronics,80.0,25.0,2000.0,3,8
2022-08-04,Coat,clothing,100.0,15.0,1500.0,3,8
2022-08-05,Smartwatch,accessories,200.0,10.0,2000.0,3,8
2022-08-06,Smartphone,electronics,600.0,7.0,4200.0,3,8
2022-08-07,Backpack,bags,50.0,18.0,900.0,3,8
2022-08-08,T-Shirt,clothing,20.0,35.0,700.0,3,8
2022-08-09,Jeans,clothing,50.0,10.0,500.0,3,8
2022-08-10,Watch,accessories,150.0,12.0,1800.0,3,8
2022-08-11,Hoodie,clothing,40.0,20.0,800.0,3,8
2022-08-12,Smartphone,electronics,600.0,12.0,7200.0,3,8
2022-08-13,Sneakers,shoes,80.0,15.0,1200.0,3,8
2022-08-14,Wallet,accessories,30.0,40.0,1200.0,3,8
2022-08-15,Smartwatch,accessories,200.0,5.0,1000.0,3,8
2022-08-16,Smartphone,electronics,600.0,6.0,3600.0,3,8
2022-08-17,Coat,clothing,100.0,8.0,800.0,3,8
2022-08-18,Speaker,electronics,80.0,20.0,1600.0,3,8
2022-08-19,Backpack,bags,50.0,15.0,750.0,3,8
2022-08-20,T-Shirt,clothing,20.0,20.0,400.0,3,8
2022-08-21,Tablet,electronics,400.0,6.0,2400.0,3,8
2022-08-22,Smartphone,electronics,600.0,7.0,4200.0,3,8
2022-08-23,Sneakers,shoes,80.0,12.0,960.0,3,8
2022-08-24,T-Shirt,clothing,20.0,25.0,500.0,3,8
2022-08-25,Smartwatch,accessories,200.0,8.0,1600.0,3,8
2022-08-26,Jeans,clothing,50.0,15.0,750.0,3,8
2022-08-27,Smartphone,electronics,600.0,9.0,5400.0,3,8
2022-08-28,Watch,accessories,150.0,10.0,1500.0,3,8
2022-08-29,Coat,clothing,100.0,5.0,500.0,3,8
2022-08-30,Headphones,electronics,100.0,15.0,1500.0,3,8
2022-08-31,Smartphone,electronics,600.0,11.0,6600.0,3,8
2022-09-01,Hoodie,clothing,40.0,20.0,800.0,3,9
2022-09-02,Smartphone,electronics,600.0,10.0,6000.0,3,9
2022-09-03,Speaker,electronics,80.0,22.0,1760.0,3,9
2022-09-04,Coat,clothing,100.0,18.0,1800.0,3,9
2022-09-05,Smartwatch,accessories,200.0,12.0,2400.0,3,9
2022-09-06,Smartphone,electronics,600.0,7.0,4200.0,3,9
2022-09-07,Backpack,bags,50.0,20.0,1000.0,3,9
2022-09-08,T-Shirt,clothing,20.0,30.0,600.0,3,9
2022-09-09,Jeans,clothing,50.0,25.0,1250.0,3,9
2022-09-10,Watch,accessories,150.0,15.0,2250.0,3,9
2022-09-11,Hoodie,clothing,40.0,15.0,600.0,3,9
2022-09-12,Smartphone,electronics,600.0,12.0,7200.0,3,9
2022-09-13,Sneakers,shoes,80.0,8.0,640.0,3,9
2022-09-14,Wallet,accessories,30.0,35.0,1050.0,3,9
2022-09-15,Smartwatch,accessories,200.0,9.0,1800.0,3,9
2022-09-16,Smartphone,electronics,600.0,6.0,3600.0,3,9
2022-09-17,Coat,clothing,100.0,8.0,800.0,3,9
2022-09-18,Speaker,electronics,80.0,20.0,1600.0,3,9
2022-09-19,Backpack,bags,50.0,15.0,750.0,3,9
2022-09-20,T-Shirt,clothing,20.0,25.0,500.0,3,9
2022-09-21,Smartphone,electronics,600.0,7.0,4200.0,3,9
2022-09-22,Sneakers,shoes,80.0,12.0,960.0,3,9
2022-09-23,T-Shirt,clothing,20.0,15.0,300.0,3,9
2022-09-24,Smartwatch,accessories,200.0,8.0,1600.0,3,9
2022-09-25,Jeans,clothing,50.0,20.0,1000.0,3,9
2022-09-26,Smartphone,electronics,600.0,9.0,5400.0,3,9
2022-09-27,Watch,accessories,150.0,5.0,750.0,3,9
2022-09-28,Coat,clothing,100.0,5.0,500.0,3,9
2022-09-29,Headphones,electronics,100.0,10.0,1000.0,3,9
2022-09-30,Smartphone,electronics,600.0,11.0,6600.0,3,9
2022-10-01,Hoodie,clothing,40.0,30.0,1200.0,4,10
2022-10-01,Hoodie,clothing,40.0,30.0,1200.0,4,10
2022-10-02,Smartphone,electronics,600.0,10.0,6000.0,4,10
2022-10-03,Speaker,electronics,80.0,25.0,2000.0,4,10
2022-10-04,Coat,clothing,100.0,15.0,1500.0,4,10
2022-10-05,Smartwatch,accessories,200.0,10.0,2000.0,4,10
2022-10-06,Smartphone,electronics,600.0,7.0,4200.0,4,10
2022-10-07,Backpack,bags,50.0,18.0,900.0,4,10
2022-10-08,T-Shirt,clothing,20.0,35.0,700.0,4,10
2022-10-09,Jeans,clothing,50.0,10.0,500.0,4,10
2022-10-10,Watch,accessories,150.0,12.0,1800.0,4,10
2022-10-11,Hoodie,clothing,40.0,20.0,800.0,4,10
2022-10-12,Smartphone,electronics,600.0,12.0,7200.0,4,10
2022-10-13,Sneakers,shoes,80.0,15.0,1200.0,4,10
2022-10-14,Wallet,accessories,30.0,40.0,1200.0,4,10
2022-10-15,Smartwatch,accessories,200.0,5.0,1000.0,4,10
2022-10-16,Smartphone,electronics,600.0,6.0,3600.0,4,10
2022-10-17,Coat,clothing,100.0,8.0,800.0,4,10
2022-10-18,Speaker,electronics,80.0,20.0,1600.0,4,10
2022-10-19,Backpack,bags,50.0,15.0,750.0,4,10
2022-10-20,T-Shirt,clothing,20.0,20.0,400.0,4,10
2022-10-21,Tablet,electronics,400.0,6.0,2400.0,4,10
2022-10-22,Smartphone,electronics,600.0,7.0,4200.0,4,10
2022-10-23,Sneakers,shoes,80.0,12.0,960.0,4,10
2022-10-24,T-Shirt,clothing,20.0,25.0,500.0,4,10
2022-10-25,Smartwatch,accessories,200.0,8.0,1600.0,4,10
2022-10-26,Jeans,clothing,50.0,15.0,750.0,4,10
2022-10-27,Smartphone,electronics,600.0,9.0,5400.0,4,10
2022-10-28,Watch,accessories,150.0,10.0,1500.0,4,10
2022-10-29,Coat,clothing,100.0,5.0,500.0,4,10
2022-10-30,Headphones,electronics,100.0,15.0,1500.0,4,10
2022-10-31,Smartphone,electronics,600.0,11.0,6600.0,4,10
2022-11-01,Hoodie,clothing,40.0,20.0,800.0,4,11
2022-11-02,Smartphone,electronics,600.0,10.0,6000.0,4,11
2022-11-03,Speaker,electronics,80.0,22.0,1760.0,4,11
2022-11-04,Coat,clothing,100.0,18.0,1800.0,4,11
2022-11-05,Smartwatch,accessories,200.0,12.0,2400.0,4,11
2022-11-06,Smartphone,electronics,600.0,7.0,4200.0,4,11
2022-11-07,Backpack,bags,50.0,20.0,1000.0,4,11
2022-11-08,T-Shirt,clothing,20.0,30.0,600.0,4,11
2022-11-09,Jeans,clothing,50.0,25.0,1250.0,4,11
2022-11-10,Watch,accessories,150.0,15.0,2250.0,4,11
2022-11-10,Hoodie,clothing,40.0,15.0,600.0,4,11
2022-11-11,Smartphone,electronics,600.0,12.0,7200.0,4,11
2022-11-12,Sneakers,shoes,80.0,8.0,640.0,4,11
2022-11-13,Wallet,accessories,30.0,35.0,1050.0,4,11
2022-11-14,Smartwatch,accessories,200.0,9.0,1800.0,4,11
2022-11-15,Smartphone,electronics,600.0,6.0,3600.0,4,11
2022-11-16,Coat,clothing,100.0,8.0,800.0,4,11
2022-11-17,Speaker,electronics,80.0,20.0,1600.0,4,11
2022-11-18,Backpack,bags,50.0,15.0,750.0,4,11
2022-11-19,T-Shirt,clothing,20.0,25.0,500.0,4,11
2022-11-20,Smartphone,electronics,600.0,7.0,4200.0,4,11
2022-11-21,Sneakers,shoes,80.0,12.0,960.0,4,11
2022-11-22,T-Shirt,clothing,20.0,15.0,300.0,4,11
2022-11-23,Smartwatch,accessories,200.0,8.0,1600.0,4,11
2022-11-24,Jeans,clothing,50.0,20.0,1000.0,4,11
2022-11-25,Smartphone,electronics,600.0,9.0,5400.0,4,11
2022-11-26,Watch,accessories,150.0,5.0,750.0,4,11
2022-11-27,Coat,clothing,100.0,5.0,500.0,4,11
2022-11-28,Headphones,electronics,100.0,10.0,1000.0,4,11
2022-11-29,Smartphone,electronics,600.0,11.0,6600.0,4,11
2022-11-30,Hoodie,clothing,40.0,30.0,1200.0,4,11
2022-12-01,Smartphone,electronics,600.0,10.0,6000.0,4,12
2022-12-02,Speaker,electronics,80.0,25.0,2000.0,4,12
2022-12-03,Coat,clothing,100.0,15.0,1500.0,4,12
2022-12-04,Smartwatch,accessories,200.0,10.0,2000.0,4,12
2022-12-05,Smartphone,electronics,600.0,7.0,4200.0,4,12
2022-12-06,Backpack,bags,50.0,18.0,900.0,4,12
2022-12-07,T-Shirt,clothing,20.0,35.0,700.0,4,12
2022-12-08,Jeans,clothing,50.0,10.0,500.0,4,12
2022-12-09,Watch,accessories,150.0,12.0,1800.0,4,12
2022-12-10,Hoodie,clothing,40.0,20.0,800.0,4,12
2022-12-11,Smartphone,electronics,600.0,12.0,7200.0,4,12
2022-12-12,Sneakers,shoes,80.0,15.0,1200.0,4,12
2022-12-13,Wallet,accessories,30.0,40.0,1200.0,4,12
2022-12-14,Smartwatch,accessories,200.0,5.0,1000.0,4,12
2022-12-15,Smartphone,electronics,600.0,6.0,3600.0,4,12
2022-12-16,Coat,clothing,100.0,8.0,800.0,4,12
2022-12-17,Speaker,electronics,80.0,20.0,1600.0,4,12
2022-12-18,Backpack,bags,50.0,15.0,750.0,4,12
2022-12-19,T-Shirt,clothing,20.0,20.0,400.0,4,12
2022-12-20,Tablet,electronics,400.0,6.0,2400.0,4,12
2022-12-21,Smartphone,electronics,600.0,7.0,4200.0,4,12
2022-12-22,Sneakers,shoes,80.0,12.0,960.0,4,12
2022-12-23,T-Shirt,clothing,20.0,25.0,500.0,4,12
2022-12-24,Smartwatch,accessories,200.0,8.0,1600.0,4,12
2022-12-25,Jeans,clothing,50.0,15.0,750.0,4,12
2022-12-26,Smartphone,electronics,600.0,9.0,5400.0,4,12
2022-12-27,Watch,accessories,150.0,5.0,750.0,4,12
2022-12-28,Coat,clothing,100.0,5.0,500.0,4,12
2022-12-29,Headphones,electronics,100.0,10.0,1000.0,4,12
2022-12-30,Smartphone,electronics,600.0,11.0,6600.0,4,12
2022-12-31,Hoodie,clothing,40.0,30.0,1200.0,4,12
